name,organisation,type,start_date,end_date,description
Tumatoimari,inkubio,functionary,2024-01-01,2024-12-31,TumaTMK:n aktiivinen jäsen
ISO,inkubio,functionary,2024-05-09,2027-05-01,"N:nen vuoden opiskelija ja ISO, joka kertoo fukseille miten asiat oikeasti ovat."
Apoptoosi XXI -toimari,inkubio,functionary,2024-06-01,2025-03-07,"Vujutoimikunta: kokkarien päävastuu, fuksikuiskauksen avustus, koristeiden toteutuksen suunnittelu ja valokuvauksen järkkäys"
Kiltis- ja varastovastaava,inkubio,functionary,2025-01-01,2025-12-31,
Herkkuhamsteri,inkubio,functionary,2025-01-01,2025-12-31,
Bionse II -tanssija,inkubio,functionary,2025-01-01,2025-12-31,
Retkitoimari,inkubio,functionary,2025-01-01,2025-12-31,
Pelitoimari,inkubio,functionary,2025-01-01,2025-12-31,
RekomBIOnaatio-toimari,inkubio,functionary,2025-01-01,2025-12-31,
Keppana-toimari,inkubio,functionary,2025-01-01,2025-03-26,
Wappu-toimari,inkubio,functionary,2025-02-21,2025-04-22,
Apu-IE,KYS,functionary,2025-07-27,2026-06-30,
Tekniikkasektori,tspeksi,group,2025-11-07,2026-07-31,Muutamia tekniikka keikkoja tekemässä. Paljon kasausta ja purkua sekä vähän äänikeikkojen vetoa.
Sisä- ja ulkomestari,inkubio,functionary,2026-01-01,2026-12-31,Inkuhali'26 <3
Panotoimari,inkubio,functionary,2026-01-01,2026-12-31,
Tekniikkavastaava,HO,functionary,2026-01-01,2026-12-31,
TKTMK’26,AYY,group,2026-01-01,2026-12-31,TJ:n teekkarikulttuuritoimikunnassa sisä- ja ulkomestari roolin kautta
Ulkovastaava,KYS,functionary,2026-07-01,2027-06-30,
Editorial team,IW,group,2025-06-23,2026-06-30,
Editorial team,IW,group,2026-07-01,2027-06-30,
Toimaripalkinto,inkubio,decoration,2024-05-24,,TumaTMK
Toimaripalkinto,inkubio,decoration,2025-05-24,,Toosa + RetkiTMK
Kunniajäsen,KYS,decoration,2026-08-30,,Erinomaisesti suoritettu apu-IE vuosi (eniten työpanosta antanut toimihenkilö)
